,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
125,Howard,5,1,4,.200,-13.70,-1.95,,0,0,,1,1,,0,0,,363,424,,200,123,283,.435,38,123,.309,79,110,.718,41,177,74,26,25,72,89
126,Idaho State,23,13,10,.565,-9.21,-6.82,,8,6,,8,3,,5,5,,1574,1410,,930,541,1203,.450,163,480,.340,329,465,.708,229,831,270,105,81,345,413
127,Idaho,21,1,20,.048,-19.92,-4.01,,1,17,,1,9,,0,11,,1279,1613,,850,464,1083,.428,116,342,.339,235,322,.730,148,625,254,105,42,343,398
128,Illinois-Chicago,22,9,13,.409,-10.99,-6.35,,6,10,,7,4,,2,9,,1489,1591,,890,558,1301,.429,178,544,.327,195,296,.659,183,766,297,81,68,291,409
129,Illinois State,25,7,18,.280,-4.99,0.84,,4,14,,3,8,,3,9,,1799,1870,,1015,679,1477,.460,195,566,.345,246,372,.661,206,881,345,150,84,345,411
130,Illinois,26,20,6,.769,24.28,12.09,,16,4,,11,2,,9,3,,2098,1781,,1050,758,1516,.500,180,471,.382,402,586,.686,274,1044,420,146,73,350,462
131,Incarnate Word,21,8,13,.381,-15.45,-8.12,,5,9,,5,7,,3,6,,1427,1498,,845,499,1120,.446,163,428,.381,266,377,.706,160,651,260,114,39,295,370
132,Indiana State,25,15,10,.600,2.49,2.37,,11,7,,9,3,,5,6,,1662,1645,,1000,580,1338,.433,149,447,.333,353,481,.734,207,796,267,164,73,302,373
133,Indiana,26,12,14,.462,14.54,13.77,,7,12,,6,6,,3,7,,1832,1812,,1075,633,1454,.435,156,472,.331,410,611,.671,232,900,362,149,97,313,465
134,Iona,13,8,5,.615,-2.00,-7.00,,6,3,,4,2,,4,3,,971,906,,520,336,741,.453,106,295,.359,193,259,.745,143,471,196,92,60,209,297
135,Iowa State,23,2,21,.087,-0.62,10.73,,0,18,,2,10,,0,11,,1501,1762,,920,561,1341,.418,167,518,.322,212,272,.779,193,723,264,147,73,346,427
136,Iowa,27,20,7,.741,23.85,10.92,,14,6,,14,2,,6,4,,2296,1947,,1085,811,1711,.474,273,689,.396,401,565,.710,310,1092,518,151,118,256,400
137,Purdue-Fort Wayne,23,8,15,.348,-11.02,-7.50,,6,14,,5,6,,3,9,,1728,1809,,955,631,1259,.501,204,510,.400,262,380,.689,177,721,328,156,64,393,413
138,IUPUI,18,8,10,.444,-10.58,-5.97,,7,9,,4,5,,4,5,,1281,1364,,720,452,1069,.423,143,416,.344,234,326,.718,168,608,239,124,40,250,340
139,Jackson State,16,11,5,.688,-11.34,-13.90,,11,0,,6,0,,5,5,,1026,985,,645,346,888,.390,87,263,.331,247,366,.675,168,590,169,130,51,252,310
140,Jacksonville State,27,18,9,.667,-2.50,-5.54,,13,6,,8,3,,7,5,,2005,1851,,1095,723,1568,.461,219,616,.356,340,496,.685,299,1048,383,135,94,360,413
141,Jacksonville,24,11,13,.458,-10.86,-6.45,,5,9,,7,5,,4,8,,1622,1668,,965,577,1320,.437,170,526,.323,298,449,.664,206,800,269,164,63,343,372
142,James Madison,20,13,7,.650,0.62,-2.44,,8,2,,10,3,,3,3,,1562,1409,,800,543,1201,.452,166,486,.342,310,464,.668,220,747,276,149,40,243,375
143,Kansas State,27,8,19,.296,-0.41,9.09,,4,14,,6,12,,2,7,,1653,1913,,1080,599,1465,.409,176,604,.291,279,420,.664,271,887,349,141,43,401,465
144,Kansas,27,19,8,.704,16.66,10.35,,12,6,,13,1,,4,6,,1978,1779,,1085,711,1620,.439,201,586,.343,355,500,.710,311,1037,370,182,113,334,417
145,Kennesaw State,24,5,19,.208,-13.75,-3.27,,1,13,,4,9,,0,9,,1571,1672,,960,571,1359,.420,164,526,.312,265,402,.659,215,815,260,138,60,341,429
