,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
113,Grambling,22,11,11,.500,-14.64,-13.02,,9,6,,6,4,,5,7,,1482,1507,,72.6,92.9,.423,.286,.513,48.3,60.9,11.4,8.5,.475,18.8,24.5,.283
114,Grand Canyon,21,15,6,.714,2.08,-5.70,,9,3,,10,3,,5,1,,1583,1302,,68.7,109.8,.318,.356,.572,56.4,58.8,7.0,8.7,.550,16.7,31.3,.215
115,Green Bay,25,8,17,.320,-9.01,-4.09,,8,12,,6,6,,2,11,,1790,1913,,67.7,102.7,.273,.339,.526,47.6,53.7,7.9,9.3,.492,13.6,25.7,.204
116,Hampton,25,11,14,.440,-12.99,-8.59,,9,9,,5,7,,6,7,,1721,1831,,70.1,98.2,.286,.388,.527,46.0,47.2,8.7,16.1,.495,16.3,22.1,.207
117,Hartford,22,14,8,.636,-3.32,-5.42,,8,6,,9,1,,5,6,,1451,1405,,66.4,99.3,.278,.430,.536,48.9,47.0,10.4,5.8,.509,17.2,25.1,.196
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
119,Hawaii,20,11,9,.550,-4.13,-4.40,,9,9,,7,5,,4,4,,1451,1390,,68.5,103.9,.315,.377,.546,52.9,45.8,8.2,3.7,.514,17.2,30.7,.227
120,High Point,24,9,15,.375,-10.05,-6.84,,6,11,,5,5,,4,10,,1600,1677,,67.4,98.3,.383,.292,.499,51.0,51.8,9.7,12.5,.458,15.9,32.0,.263
121,Hofstra,23,13,10,.565,-1.82,-1.99,,8,6,,7,3,,5,6,,1683,1679,,68.9,105.6,.332,.393,.542,50.0,49.2,9.5,7.9,.508,15.2,29.3,.238
122,Holy Cross,16,5,11,.313,-0.12,5.31,,5,11,,2,7,,3,4,,1130,1217,,69.8,100.4,.261,.328,.529,46.9,44.9,9.6,9.7,.503,16.2,26.4,.182
123,Houston Baptist,23,5,18,.217,-16.97,-4.88,,4,11,,4,6,,1,12,,1644,1877,,74.6,95.3,.278,.406,.531,46.8,56.4,9.0,9.8,.499,20.2,25.2,.204
124,Houston,24,21,3,.875,21.82,4.26,,14,3,,15,0,,5,3,,1852,1382,,66.9,115.3,.303,.420,.545,56.2,50.2,12.8,14.5,.512,13.5,39.6,.222
125,Howard,5,1,4,.200,-13.70,-1.95,,0,0,,1,1,,0,0,,363,424,,73.1,99.2,.389,.435,.541,47.2,60.2,7.1,12.8,.502,17.7,22.9,.279
126,Idaho State,23,13,10,.565,-9.21,-6.82,,8,6,,8,3,,5,5,,1574,1410,,66.3,102.1,.387,.399,.553,55.3,49.9,6.8,9.5,.517,19.5,32.2,.273
127,Idaho,21,1,20,.048,-19.92,-4.01,,1,17,,1,9,,0,11,,1279,1613,,67.3,89.4,.297,.316,.517,46.4,54.7,7.3,5.6,.482,21.7,22.2,.217
128,Illinois-Chicago,22,9,13,.409,-10.99,-6.35,,6,10,,7,4,,2,9,,1489,1591,,69.6,96.1,.228,.418,.516,48.4,53.2,5.2,7.0,.497,16.8,23.4,.150
129,Illinois State,25,7,18,.280,-4.99,0.84,,4,14,,3,8,,3,9,,1799,1870,,70.7,100.3,.252,.383,.544,49.5,50.8,8.4,9.3,.526,17.3,23.8,.167
130,Illinois,26,20,6,.769,24.28,12.09,,16,4,,11,2,,9,3,,2098,1781,,71.5,111.8,.387,.311,.585,57.0,55.4,7.8,6.9,.559,16.3,32.7,.265
131,Incarnate Word,21,8,13,.381,-15.45,-8.12,,5,9,,5,7,,3,6,,1427,1498,,68.1,99.2,.337,.382,.549,46.9,52.1,7.9,4.8,.518,18.5,23.6,.238
